Timestamp,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,ShockPot1,ShockPot2,BrakePressure,qw,qx,qy,qz
6556578,0.07,-1.06,9.55,0.02,0.03,-0.02,0.61,0.55,-341.45,0.16,-0.01,-0.06,0.98
6696578,-0.01,-1.18,9.44,0.04,0.05,0.04,0.61,0.55,-341.45,0.17,-0.01,-0.07,0.98
6806578,0.26,-1.52,9.82,0.07,0.15,0.26,0.67,0.55,-341.45,0.17,-0.01,-0.09,0.98
6921578,0.03,-2.59,9.02,-0.06,-0.21,-0.24,0.61,0.55,-341.45,0.16,-0.01,-0.11,0.98
7036578,0.57,-1.98,9.44,0.32,0.51,0.38,0.61,0.55,-341.45,0.15,-0.01,-0.14,0.98
7166578,0.68,-3.01,9.41,-0.11,-0.11,-0.03,0.61,0.49,-341.45,0.14,-0.00,-0.17,0.97
7276578,0.37,-3.86,8.61,-0.08,-0.11,-0.10,0.61,0.55,-341.45,0.15,-0.01,-0.21,0.97
7401578,0.41,-4.36,8.29,-0.12,0.08,-0.05,0.61,0.55,-341.45,0.15,-0.01,-0.24,0.96
7521578,0.53,-4.97,8.53,-0.02,-0.02,-0.30,0.61,0.55,-341.45,0.15,-0.02,-0.27,0.95
7626578,0.34,-4.85,8.22,-0.02,-0.09,0.18,0.61,0.55,-341.45,0.15,-0.03,-0.27,0.95
7746578,0.30,-5.23,7.91,0.05,0.18,-0.02,0.61,0.55,-341.45,0.15,-0.04,-0.29,0.94
7861578,0.07,-5.58,7.64,-0.05,0.08,-0.06,0.61,0.55,-341.45,0.15,-0.05,-0.31,0.94
7976578,0.03,-5.77,7.72,0.08,0.00,0.32,0.61,0.55,-341.45,0.16,-0.05,-0.32,0.93
8091578,0.03,-6.23,7.34,0.03,-0.05,-0.13,0.61,0.55,-341.45,0.16,-0.06,-0.33,0.93
8201578,0.22,-6.54,7.07,0.08,-0.03,0.15,0.61,0.55,-341.45,0.16,-0.05,-0.35,0.92
8336578,0.18,-6.73,6.92,0.20,-0.25,0.09,0.61,0.55,-341.45,0.16,-0.06,-0.38,0.91
8451578,0.14,-7.19,6.34,0.05,0.46,0.01,0.61,0.55,-341.45,0.16,-0.06,-0.40,0.90
8561578,0.30,-7.50,6.04,0.14,0.05,0.14,0.61,0.55,-339.11,0.16,-0.06,-0.42,0.89
8671578,0.41,-7.84,5.88,0.05,-0.07,0.25,0.61,0.55,-341.45,0.16,-0.06,-0.45,0.88
8781578,0.57,-8.07,5.54,0.04,-0.02,0.14,0.61,0.55,-341.45,0.16,-0.06,-0.47,0.87
8896578,0.68,-8.15,5.15,0.11,-0.03,-0.05,0.61,0.55,-341.45,0.16,-0.06,-0.48,0.86
9006578,0.68,-8.30,4.65,0.10,-0.02,-0.25,0.61,0.55,-341.45,0.16,-0.06,-0.49,0.85
9116578,0.68,-8.53,4.65,0.03,-0.09,0.30,0.61,0.55,-341.45,0.16,-0.06,-0.51,0.84
9216578,0.76,-8.61,4.58,0.13,0.03,0.04,0.61,0.55,-341.45,0.16,-0.06,-0.52,0.84
9326578,0.72,-8.76,4.31,0.08,-0.03,-0.08,0.61,0.55,-341.45,0.16,-0.06,-0.53,0.83
9451578,0.84,-8.76,4.08,0.09,-0.12,0.29,0.61,0.55,-341.45,0.15,-0.06,-0.54,0.82
9561578,0.87,-9.06,3.96,0.10,-0.20,0.53,0.61,0.55,-341.45,0.15,-0.05,-0.56,0.81
9671578,0.99,-9.14,3.35,0.11,-0.14,0.15,0.61,0.61,-341.45,0.15,-0.05,-0.57,0.80
9781578,0.99,-9.11,2.70,0.03,0.08,-0.18,0.61,0.55,-341.45,0.15,-0.05,-0.59,0.79
9896578,1.03,-9.30,2.62,0.05,-0.01,0.02,0.61,0.55,-343.79,0.14,-0.05,-0.60,0.78
10016578,1.07,-9.34,2.24,-0.08,-0.19,0.07,0.61,0.55,-341.45,0.14,-0.05,-0.62,0.77
10126578,1.29,-9.34,1.67,0.29,0.09,-0.17,0.61,0.55,-341.45,0.13,-0.04,-0.63,0.76
10236578,1.10,-9.37,1.32,-0.07,0.02,0.13,0.61,0.55,-341.45,0.13,-0.04,-0.65,0.75
10341578,0.95,-9.53,1.13,0.09,0.02,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.66,0.74
10441578,1.03,-9.48,1.17,0.04,0.14,0.07,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
10551578,0.95,-9.68,1.17,-0.03,-0.16,0.03,0.61,0.55,-341.45,0.13,-0.06,-0.66,0.73
10656578,0.91,-9.56,1.02,0.07,0.02,-0.02,0.61,0.55,-341.45,0.13,-0.06,-0.66,0.73
10761578,1.03,-9.60,1.02,0.09,-0.05,-0.03,0.61,0.55,-341.45,0.13,-0.05,-0.66,0.73
10871578,0.99,-9.56,1.02,0.07,0.07,-0.13,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
10976578,0.99,-9.56,1.02,-0.01,-0.05,-0.01,0.61,0.55,-343.79,0.13,-0.05,-0.67,0.73
11076578,0.99,-9.56,1.02,0.03,0.03,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11186578,1.10,-9.52,0.98,0.13,0.07,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11286578,1.03,-9.64,1.02,0.04,-0.09,0.05,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11387100,1.03,-9.48,0.94,-0.03,0.06,0.00,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11496578,0.99,-9.57,0.94,0.05,-0.02,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11596578,1.03,-9.57,0.86,-0.07,0.01,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11706578,1.07,-9.48,0.90,0.01,0.10,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11811578,1.07,-9.57,0.90,0.05,-0.02,0.00,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
11916578,0.99,-9.61,0.94,-0.00,-0.06,0.09,0.67,0.55,-341.45,0.13,-0.05,-0.67,0.73
12011578,1.03,-9.52,0.86,-0.00,-0.02,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12111578,1.03,-9.60,0.90,0.04,0.01,-0.03,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12211578,1.03,-9.49,0.90,-0.08,-0.01,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12306578,1.03,-9.57,0.86,0.03,-0.05,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12411578,1.10,-9.57,0.86,-0.01,0.07,-0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12517086,0.99,-9.52,0.86,-0.05,-0.02,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12621578,0.99,-9.57,0.86,-0.00,-0.02,0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12727100,1.07,-9.52,0.90,0.00,0.02,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12831578,1.03,-9.53,0.90,0.04,-0.02,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
12941578,1.03,-9.57,0.98,-0.04,-0.05,0.04,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13036578,1.03,-9.60,0.90,0.05,0.01,0.03,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13141578,1.03,-9.52,0.94,-0.03,0.02,-0.05,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13241578,0.84,-9.64,0.94,-0.07,-0.13,-0.07,0.61,0.55,-341.45,0.14,-0.05,-0.67,0.73
13347106,1.07,-9.53,0.86,-0.01,0.06,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13451578,0.99,-9.52,0.98,0.03,-0.05,-0.02,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13556578,0.99,-9.53,0.90,0.04,0.02,-0.04,0.61,0.55,-343.79,0.13,-0.05,-0.67,0.73
13656578,0.99,-9.52,0.86,-0.01,-0.02,-0.04,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13751578,1.07,-9.56,0.86,0.02,0.02,-0.05,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13856578,1.10,-9.45,0.75,0.06,0.06,0.00,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
13976578,0.76,-9.99,0.82,0.16,-0.05,-0.08,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
14081578,1.07,-9.56,0.75,-0.00,-0.07,-0.07,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
14196578,0.91,-9.56,0.90,-0.02,0.05,-0.13,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.73
14301578,0.99,-9.56,0.82,-0.04,0.13,-0.03,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
14401578,0.91,-9.60,0.55,0.00,-0.02,-0.24,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
14511578,0.95,-9.56,0.71,-0.04,0.08,-0.14,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
14621578,1.03,-9.52,0.75,-0.00,-0.05,-0.12,0.61,0.55,-339.11,0.13,-0.05,-0.68,0.72
14731578,0.99,-9.60,0.90,0.07,-0.05,-0.10,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
14836578,1.07,-9.53,0.71,-0.02,-0.05,0.07,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
14941578,0.95,-9.53,0.59,-0.02,-0.05,0.07,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15051578,0.95,-9.75,0.67,0.00,-0.20,0.16,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15136578,1.03,-9.30,0.40,0.01,-0.04,0.01,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15241578,1.03,-9.79,0.90,-0.01,0.18,-0.27,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15341578,1.10,-9.53,0.44,0.05,0.15,-0.19,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15456578,1.03,-9.52,0.59,0.09,-0.04,0.23,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15556578,1.10,-9.52,0.71,-0.01,0.04,-0.20,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15656578,1.07,-9.49,0.71,-0.02,0.03,0.02,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15766578,1.07,-9.64,0.86,0.05,-0.09,0.09,0.61,0.55,-343.79,0.13,-0.05,-0.68,0.72
15861578,1.10,-9.72,0.67,0.05,0.03,-0.15,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
15967238,1.14,-9.49,0.79,0.05,0.03,0.09,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16077186,1.14,-9.56,0.75,0.07,-0.09,-0.09,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16191578,1.14,-9.64,0.59,0.12,-0.01,-0.10,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16291578,1.10,-9.48,0.86,-0.02,0.11,0.20,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16396578,1.14,-9.53,0.75,-0.07,-0.05,-0.19,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16506578,1.03,-9.57,0.75,-0.07,0.03,-0.02,0.61,0.55,-343.79,0.13,-0.04,-0.68,0.72
16621578,1.14,-9.57,0.82,-0.02,-0.01,0.05,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16726578,1.10,-9.57,0.86,-0.04,-0.01,0.00,0.61,0.55,-341.45,0.13,-0.04,-0.68,0.72
16841578,1.10,-9.53,0.82,0.00,-0.02,-0.00,0.61,0.55,-341.45,0.13,-0.05,-0.67,0.72
