Timestamp,ax,ay,az,qw,qx,qy,qz
7892011,0.64,-3.09,9.13,0.94,-0.13,-0.09,0.31
7967011,0.49,-3.28,9.37,0.94,-0.14,-0.08,0.31
8037011,0.80,-2.71,9.17,0.94,-0.13,-0.08,0.30
8107011,0.80,-2.44,9.14,0.94,-0.13,-0.08,0.30
8182011,0.72,-2.98,9.21,0.94,-0.13,-0.08,0.29
8257011,0.41,-2.86,9.14,0.94,-0.13,-0.08,0.29
8327011,0.76,-2.75,9.02,0.95,-0.12,-0.08,0.29
8397011,0.57,-2.63,9.29,0.95,-0.12,-0.08,0.28
8467011,1.10,-2.17,9.17,0.95,-0.11,-0.08,0.27
8537011,0.95,-2.02,9.37,0.95,-0.11,-0.08,0.27
8602011,0.84,-2.52,9.25,0.95,-0.11,-0.08,0.27
8677011,0.64,-2.67,9.13,0.95,-0.12,-0.08,0.28
8752011,0.64,-2.86,8.71,0.95,-0.12,-0.08,0.28
8822011,1.03,-2.98,9.59,0.95,-0.13,-0.08,0.28
8892011,0.84,-2.59,9.52,0.95,-0.12,-0.08,0.28
8957011,1.10,-2.21,9.06,0.95,-0.12,-0.08,0.28
9027011,1.26,-2.63,9.13,0.95,-0.11,-0.09,0.29
9092011,1.37,-2.67,9.02,0.94,-0.11,-0.09,0.31
9157011,1.10,-2.29,9.71,0.93,-0.10,-0.10,0.35
9232011,1.37,-2.48,8.83,0.91,-0.09,-0.11,0.39
9302011,1.41,-1.52,9.25,0.89,-0.07,-0.13,0.43
9377011,2.48,-1.71,9.41,0.88,-0.05,-0.14,0.46
9447011,1.87,-2.09,8.22,0.86,-0.03,-0.15,0.49
9517011,3.25,-0.18,7.18,0.83,0.03,-0.19,0.53
9592011,5.43,-4.89,16.30,0.80,0.10,-0.25,0.53
9667011,3.98,-2.79,10.20,0.81,0.05,-0.21,0.54
9737011,3.40,-1.21,8.37,0.81,0.05,-0.20,0.56
9812011,3.36,-0.98,8.49,0.80,0.06,-0.19,0.57
9887011,3.59,-1.41,8.64,0.81,0.07,-0.19,0.56
9962011,3.82,-0.87,8.52,0.81,0.09,-0.19,0.55
10037011,4.36,-0.22,8.67,0.81,0.10,-0.19,0.54
